Incident Number,Incident Types,Reported Date,Nearest Populated Centre,Province,Company,Status,Latitude,Longitude,Approximate Volume Released,Substance,Release Type,Significant,Marker,Year
INC2012-125,Release of Substance,09/18/2012,Sarnia,Ontario,Enbridge Pipelines Inc.,Closed,42.95262,-82.37435,0.001,Natural Gas - Sweet,Gas,No,small_green,2012
INC2012-127,Release of Substance,09/21/2012,Flume Ridge,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.461,-66.99757,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2012
INC2012-128,"Explosion, Fire",09/21/2012,Drayton Valley,Alberta,NOVA Gas Transmission Ltd.,Closed,52.93315,-114.88072,Not Applicable,Not Applicable,Not Applicable,No,small_yellow,2012
INC2012-130,Operation Beyond Design Limits,09/26/2012,Hardisty,Alberta,TransCanada Keystone Pipeline GP Ltd.,Closed,52.29348,-111.09216,Not Applicable,Not Applicable,Not Applicable,No,small_purple,2012
INC2012-131,Release of Substance,09/27/2012,Rapid City,Manitoba,TransCanada PipeLines Limited,Closed,50.0747,-100.00049,10,Natural Gas - Sweet,Gas,No,small_green,2012
INC2012-132,Fire,09/27/2012,Kerrobert,Saskatchewan,Enbridge Pipelines Inc.,Closed,51.86536,-109.02607,Not Applicable,Not Applicable,Not Applicable,No,small_yellow,2012
INC2012-133,Release of Substance,09/28/2012,Lincoln,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.806186,-66.593942,5.7,Natural Gas - Sweet,Gas,No,small_green,2012
INC2012-134,Operation Beyond Design Limits,09/28/2012,Hinton,Alberta,NOVA Gas Transmission Ltd.,Closed,53.65218,-116.09968,Not Applicable,Not Applicable,Not Applicable,No,small_purple,2012
INC2012-135,Fire,09/30/2012,Vaughan,Ontario,TransCanada PipeLines Limited,Closed,43.87374,-79.57984,Not Applicable,Not Applicable,Not Applicable,No,small_yellow,2012
INC2012-137,Release of Substance,10/02/2012,Rapid City,Manitoba,TransCanada PipeLines Limited,Closed,50.07455,-100.00074,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2012
INC2012-138,Release of Substance,10/02/2012,Carberry,Manitoba,TransCanada PipeLines Limited,Closed,50.024295,-99.454233,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2012
INC2012-139,Operation Beyond Design Limits,10/03/2012,Hines Creek,Alberta,NOVA Gas Transmission Ltd.,Closed,56.55718,-119.02232,Not Applicable,Not Applicable,Not Applicable,No,small_purple,2012
INC2012-140,Release of Substance,10/04/2012,Rosemary,Alberta,NOVA Gas Transmission Ltd.,Closed,50.74405,-112.06708,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2012
INC2012-141,Release of Substance,10/04/2012,Regina,Saskatchewan,Enbridge Pipelines Inc.,Closed,50.48045,-104.57805,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2012
INC2012-142,Fire,10/05/2012,Caroline,Alberta,NOVA Gas Transmission Ltd.,Closed,52.06411,-114.91249,Not Applicable,Not Applicable,Not Applicable,No,small_yellow,2012
INC2012-144,Release of Substance,10/09/2012,Kenora,Ontario,TransCanada PipeLines Limited,Closed,49.72752728,-95.125515,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2012
INC2012-146,Operation Beyond Design Limits,10/22/2012,Swan Hill,Alberta,NOVA Gas Transmission Ltd.,Closed,54.539693,-115.919971,Not Applicable,Not Applicable,Not Applicable,No,small_purple,2012
INC2012-148,Operation Beyond Design Limits,10/27/2012,Rosetown,Saskatchewan,Enbridge Pipelines Inc.,Closed,51.482482,-107.525115,Not Applicable,Not Applicable,Not Applicable,No,small_purple,2012
INC2012-149,Release of Substance,10/29/2012,Sarnia,Ontario,Enbridge Pipelines Inc.,Closed,42.95261,-82.37433,7.44,Crude Oil - Sour,Liquid,No,small_blue,2012
INC2012-150,Release of Substance,10/29/2012,Kapuskasing,Ontario,TransCanada PipeLines Limited,Closed,49.38796,-82.43616,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2012
INC2012-151,Release of Substance,10/29/2012,Slave Lake,Alberta,NOVA Gas Transmission Ltd.,Closed,55.04178,-114.46266,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2012
INC2012-152,Release of Substance,11/01/2012,Moyie,British Columbia,TransCanada PipeLines Limited B.C. System,Closed,49.238462,-115.855313,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2012
INC2012-153,Release of Substance,11/01/2012,Not specified,Alberta,NOVA Gas Transmission Ltd.,Closed,54.26029388,-115.2028366,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2012
INC2012-154,Release of Substance,11/08/2012,Lincoln,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.806186,-66.593942,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2012
INC2012-155,Fire,11/12/2012,Manning,Alberta,NOVA Gas Transmission Ltd.,Closed,57.36002,-119.74979,Not Applicable,Not Applicable,Not Applicable,No,small_yellow,2012
INC2012-156,Release of Substance,11/14/2012,Salisbury,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,46.050194,-65.259182,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2012
INC2012-157,Release of Substance,11/15/2012,Fox Creek,Alberta,NOVA Gas Transmission Ltd.,Closed,54.043732,-117.421244,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2012
INC2012-158,Release of Substance,11/18/2012,Shaunavon,Saskatchewan,Foothills Pipe Lines (Saskatchewan) Ltd.,Closed,49.98008,-109.12,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2012
INC2012-159,Release of Substance,11/18/2012,Chetwynd,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,55.15019444,-121.4512055,Not Provided,Natural Gas - Sour,Gas,No,small_green,2012
INC2012-161,Fire,11/22/2012,Kitchener,Ontario,TransCanada PipeLines Limited,Closed,43.406032,-80.43846,Not Applicable,Not Applicable,Not Applicable,No,small_yellow,2012
INC2012-162,Release of Substance,11/22/2012,Beauharnois,Quebec,TransCanada PipeLines Limited,Closed,45.27297,-73.893093,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2012
INC2012-164,Release of Substance,11/24/2012,Regina,Saskatchewan,Enbridge Pipelines Inc.,Closed,50.48053,-104.57829,Not Provided,Natural Gas Liquids,Gas,No,small_green,2012
INC2012-166,Release of Substance,11/27/2012,Goldboro,Nova Scotia,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.17667,-61.6226,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2012
INC2012-168,Release of Substance,12/07/2012,Saint John,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.239523,-66.102866,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2012
INC2012-171,Serious Injury (NEB or TSB),12/15/2012,Edmonton,Alberta,Enbridge Pipelines Inc.,Closed,53.54719,-113.35571,Not Applicable,Not Applicable,Not Applicable,Yes,small_red,2012
INC2012-173,Release of Substance,12/26/2012,Cabri,Saskatchewan,TransCanada PipeLines Limited,Closed,50.60505,-108.70856,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2012
INC2012-174,Fire,12/29/2012,Sherwood Park,Alberta,Enbridge Pipelines Inc.,Closed,53.54747,-113.35571,Not Applicable,Not Applicable,Not Applicable,No,small_yellow,2012
INC2013-003,Fire,01/08/2013,Maple,Ontario,TransCanada PipeLines Limited,Closed,43.87366,-79.57983,Not Applicable,Not Applicable,Not Applicable,No,small_yellow,2013
INC2012-175,Fire,01/08/2013,Mississauga,Ontario,TransCanada PipeLines Limited,Closed,43.551392,-79.593431,Not Applicable,Not Applicable,Not Applicable,No,small_yellow,2012
INC2013-004,Release of Substance,01/08/2013,Goldboro,Nova Scotia,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.17741,-61.6223,679,Natural Gas - Sweet,Gas,No,small_green,2013
INC2013-005,Release of Substance,01/15/2013,Dryden,Ontario,TransCanada PipeLines Limited,Closed,49.789417,-92.765515,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2013
INC2013-007,Release of Substance,01/21/2013,Taylor,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,56.1442,-120.67138,9.1,Condensate,Liquid,No,small_blue,2013
INC2013-010,Release of Substance,01/25/2013,Manning,Alberta,NOVA Gas Transmission Ltd.,Closed,57.11437,-117.45693,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2013
INC2013-011,Release of Substance,01/26/2013,Brockville,Ontario,TransCanada PipeLines Limited,Submitted,44.68344,-75.62107,1,Natural Gas - Sweet,Gas,No,small_green,2013
INC2013-012,Release of Substance,01/26/2013,Whitecourt,Alberta,NOVA Gas Transmission Ltd.,Closed,53.96046,-116.46003,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2013
INC2013-016,Release of Substance,02/01/2013,Caledonia,Nova Scotia,Maritimes & Northeast Pipeline Management Ltd.,Closed,44.375026,-65.031085,1000,Natural Gas - Sweet,Gas,No,small_green,2013
INC2013-018,Release of Substance,02/02/2013,Glenavon,Saskatchewan,Enbridge Pipelines Inc.,Closed,50.18688,-103.17213,7.7,Crude Oil - Sweet,Liquid,No,small_blue,2013
INC2013-024,Release of Substance,02/10/2013,Fort McMurray,Alberta,NOVA Gas Transmission Ltd.,Closed,57.02618,-111.69054,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2013
INC2013-025,Fire,02/12/2013,Vegreville,Alberta,NOVA Gas Transmission Ltd.,Closed,54.095087,-112.305849,Not Applicable,Not Applicable,Not Applicable,No,small_yellow,2013
INC2013-028,Release of Substance,02/14/2013,Slave Lake,Alberta,NOVA Gas Transmission Ltd.,Closed,55.22444444,-114.8005555,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2013
INC2013-030,Release of Substance,02/19/2013,Redcliff,Alberta,NOVA Gas Transmission Ltd.,Closed,50.060735,-110.729591,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2013
INC2013-031,Release of Substance,02/21/2013,Falcon Lake,Manitoba,TransCanada PipeLines Limited,Closed,49.681165,-95.374581,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2013
INC2013-038,Release of Substance,03/04/2013,Geraldton,Ontario,TransCanada PipeLines Limited,Closed,49.801251,-86.760603,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2013
INC2013-041,Release of Substance,03/08/2013,Falcon Lake,Manitoba,TransCanada PipeLines Limited,Submitted,49.681165,-95.374581,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2013
INC2013-043,Release of Substance,03/15/2013,Fort Nelson,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,59.20186,-121.596498,2,Condensate,Liquid,No,small_blue,2013
INC2013-044,Fire,03/16/2013,Hamburg,Alberta,NOVA Gas Transmission Ltd.,Closed,57.367714,-119.752776,Not Applicable,Not Applicable,Not Applicable,No,small_yellow,2013
INC2013-047,Operation Beyond Design Limits,03/18/2013,Hardisty,Alberta,TransCanada Keystone Pipeline GP Ltd.,Submitted,52.65396,-111.26844,Not Applicable,Not Applicable,Not Applicable,No,small_purple,2013
INC2013-052,"Serious Injury (NEB or TSB), Fire",03/26/2013,Fort Nelson,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Submitted,58.653246,-122.684823,Not Applicable,Not Applicable,Not Applicable,Yes,small_red,2013
INC2013-053,Release of Substance,04/01/2013,Edson,Alberta,Alliance Pipeline Ltd.,Closed,53.66111,-116.59955,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2013
INC2013-055,Release of Substance,04/03/2013,Burstall,Alberta,NOVA Gas Transmission Ltd.,Submitted,50.68464,-110.02221,0.001,Natural Gas - Sweet,Gas,No,small_green,2013
INC2013-056,"Fire, Release of Substance",04/04/2013,Windsor,Ontario,Plains Midstream Canada ULC,Submitted,42.281736,-83.07803,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2013
INC2013-058,Fire,04/05/2013,Hardisty,Alberta,TransCanada Keystone Pipeline GP Ltd.,Closed,52.653959,-111.268469,Not Applicable,Not Applicable,Not Applicable,No,small_yellow,2013
INC2013-059,Operation Beyond Design Limits,04/09/2013,Hanna,Alberta,NOVA Gas Transmission Ltd.,Submitted,51.9565,-112.370504,Not Applicable,Not Applicable,Not Applicable,No,small_purple,2013
INC2013-062,Operation Beyond Design Limits,04/13/2013,Windsor,Ontario,Kinder Morgan Cochin ULC,Closed,42.281736,-83.07803,Not Applicable,Not Applicable,Not Applicable,No,small_purple,2013
INC2013-063,Release of Substance,04/16/2013,Fredericton,New Brunswick,Emera Brunswick Pipeline Company Ltd.,Closed,45.218884,-65.984989,0.028,Natural Gas - Sweet,Gas,No,small_green,2013
INC2013-064,Release of Substance,04/18/2013,Kerrobert,Saskatchewan,Enbridge Pipelines Inc.,Submitted,51.865344,-109.026045,4,Crude Oil - Sweet,Liquid,No,small_blue,2013
INC2013-066,Release of Substance,04/26/2013,Dartmouth,Nova Scotia,Maritimes & Northeast Pipeline Management Ltd.,Closed,44.68563,-63.59679,736,Natural Gas - Sweet,Gas,No,small_green,2013
INC2013-067,"Release of Substance, Operation Beyond Design Limits",04/26/2013,Edmonton,Alberta,Enbridge Pipelines Inc.,Closed,53.5475,-113.35566,0.003,Crude Oil - Sweet,Liquid,No,small_blue,2013
INC2013-069,Operation Beyond Design Limits,04/30/2013,Not specified,Alberta,NOVA Gas Transmission Ltd.,Closed,54.5353,-117.10964,Not Applicable,Not Applicable,Not Applicable,No,small_purple,2013
INC2013-070,Fire,05/01/2013,Edmonton,Alberta,Enbridge Pipelines Inc.,Closed,53.547403,-113.355714,Not Applicable,Not Applicable,Not Applicable,No,small_yellow,2013
INC2013-071,Fire,05/03/2013,Edmonton,Alberta,Enbridge Pipelines Inc.,Closed,53.547403,-113.355714,Not Applicable,Not Applicable,Not Applicable,No,small_yellow,2013
INC2013-072,Fire,05/04/2013,Vegreville,Alberta,NOVA Gas Transmission Ltd.,Closed,54.095087,-112.305849,Not Applicable,Not Applicable,Not Applicable,No,small_yellow,2013
INC2013-073,Release of Substance,05/07/2013,Saint John,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.254932,-65.988823,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2013
INC2013-074,Operation Beyond Design Limits,05/10/2013,Kerrobert,Saskatchewan,Enbridge Pipelines Inc.,Closed,51.868264,-109.036068,Not Applicable,Not Applicable,Not Applicable,No,small_purple,2013
INC2013-075,Release of Substance,05/12/2013,Fairview,Alberta,NOVA Gas Transmission Ltd.,Closed,56.035238,-117.966456,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2013
INC2013-077,Release of Substance,05/15/2013,Saint John,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.254932,-65.988823,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2013
INC2013-078,Release of Substance,05/15/2013,Sackville,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.897931,-64.368366,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2013
INC2013-079,Release of Substance,05/15/2013,Moncton,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,46.087971,-64.77714,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2013
INC2013-080,Release of Substance,05/15/2013,Moncton,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,46.087971,-64.77714,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2013
INC2013-083,Operation Beyond Design Limits,05/23/2013,Wrigley,Northwest Territories,Enbridge Pipelines (NW) Inc.,Closed,63.08805,-123.2205611,Not Applicable,Not Applicable,Not Applicable,No,small_purple,2013
INC2013-086,Operation Beyond Design Limits,06/06/2013,Edmonton,Alberta,Enbridge Pipelines Inc.,Submitted,53.547403,-113.355714,Not Applicable,Not Applicable,Not Applicable,No,small_purple,2013
INC2013-087,"Fatality, Serious Injury (NEB or TSB)",06/07/2013,Swan Lake,Manitoba,Enbridge Pipelines Inc.,Closed,49.41074,-98.789672,Not Applicable,Not Applicable,Not Applicable,Yes,small_red,2013
INC2013-088,Release of Substance,06/10/2013,Saint John,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.279238,-66.006686,0.3,Natural Gas - Sweet,Gas,No,small_green,2013
INC2013-089,Release of Substance,06/10/2013,Rollingdam,New Brunswick,Emera Brunswick Pipeline Company Ltd.,Closed,45.271448,-67.03329,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2013
INC2013-091,Release of Substance,06/11/2013,Hilda,Alberta,NOVA Gas Transmission Ltd.,Closed,50.457417,-110.196855,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2013
INC2013-094,Release of Substance,06/14/2013,Saint George,New Brunswick,Emera Brunswick Pipeline Company Ltd.,Closed,45.1291,-66.819134,0.3,Natural Gas - Sweet,Gas,No,small_green,2013
INC2013-095,Release of Substance,06/14/2013,Saint George,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.156922,-66.769837,0.85,Natural Gas - Sweet,Gas,No,small_green,2013
INC2013-096,Release of Substance,06/19/2013,Caron,Saskatchewan,TransCanada PipeLines Limited,Closed,50.480661,-105.867038,5000,Natural Gas - Sweet,Gas,No,small_green,2013
INC2013-097,Release of Substance,06/19/2013,Fort Nelson,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Submitted,59.20186,-121.596498,Not Provided,Natural Gas - Sour,Gas,No,small_green,2013
INC2013-099,Release of Substance,06/26/2013,Hope,British Columbia,Trans Mountain Pipeline ULC,Closed,49.615781,-121.034754,4,Crude Oil - Sweet,Liquid,Yes,small_blue,2013
INC2013-100,Operation Beyond Design Limits,06/26/2013,Terrebonne,Quebec,Enbridge Pipelines Inc.,Closed,45.725249,-73.703931,Not Applicable,Not Applicable,Not Applicable,No,small_purple,2013
INC2013-101,Operation Beyond Design Limits,07/01/2013,Montreal,Quebec,Trans-Northern Pipelines Inc.,Closed,45.625321,-73.537743,Not Applicable,Not Applicable,Not Applicable,No,small_purple,2013
INC2013-103,Release of Substance,07/02/2013,Waasis,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Submitted,45.828977,-66.578676,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2013
INC2013-104,Release of Substance,07/03/2013,Hardisty,Alberta,TransCanada Keystone Pipeline GP Ltd.,Submitted,52.653959,-111.268469,1.59,Crude Oil - Sweet,Liquid,No,small_blue,2013
INC2013-107,Release of Substance,07/08/2013,Slave Lake,Alberta,NOVA Gas Transmission Ltd.,Submitted,55.451389,-113.923639,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2013
INC2013-111,Release of Substance,07/12/2013,Fredericton,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Submitted,45.9627,-66.6432,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2013
INC2013-112,Release of Substance,07/17/2013,Ile des Ch?nes,Manitoba,TransCanada PipeLines Limited,Submitted,49.720115,-96.983862,1.9,Lube Oil,Liquid,No,small_blue,2013
INC2013-113,Release of Substance,07/22/2013,Kerrobert,Saskatchewan,Enbridge Pipelines Inc.,Closed,51.865344,-109.026045,Not Provided,Natural Gas Liquids,Gas,No,small_green,2013
INC2013-114,Release of Substance,07/24/2013,Coaldale,Alberta,NOVA Gas Transmission Ltd.,Closed,49.634728,-112.476416,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2013
INC2013-115,Operation Beyond Design Limits,07/24/2013,Fort St. John,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,56.943843,-122.074441,Not Applicable,Not Applicable,Not Applicable,No,small_purple,2013
INC2013-117,Fire,07/25/2013,Not specified,Alberta,Kinder Morgan Cochin ULC,Submitted,53.499634,-112.081524,Not Applicable,Not Applicable,Not Applicable,No,small_yellow,2013
INC2013-118,Release of Substance,07/29/2013,Kerrobert,Saskatchewan,Enbridge Pipelines Inc.,Submitted,51.865344,-109.026045,Not Provided,Natural Gas Liquids,Gas,No,small_green,2013
INC2013-119,Release of Substance,08/03/2013,Cromer,Manitoba,Enbridge Pipelines Inc.,Submitted,49.753998,-101.238688,Not Provided,Natural Gas Liquids,Gas,No,small_green,2013
INC2013-120,Release of Substance,08/04/2013,Kerrobert,Saskatchewan,Enbridge Pipelines Inc.,Submitted,51.865344,-109.026045,Not Provided,Natural Gas Liquids,Gas,No,small_green,2013
INC2013-123,Fire,08/17/2013,Taber,Alberta,NOVA Gas Transmission Ltd.,Closed,49.78485,-112.15107,Not Applicable,Not Applicable,Not Applicable,No,small_yellow,2013
INC2013-124,Release of Substance,08/20/2013,Not specified,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.27405,-66.02748,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2013
INC2013-126,Operation Beyond Design Limits,08/28/2013,Cromer,Manitoba,Enbridge Pipelines Inc.,Closed,49.753998,-101.238688,Not Applicable,Not Applicable,Not Applicable,No,small_purple,2013
INC2013-131,Release of Substance,09/12/2013,Edson,Alberta,NOVA Gas Transmission Ltd.,Submitted,54.09296,-116.62308,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2013
INC2013-133,Release of Substance,09/16/2013,Not specified,Alberta,NOVA Gas Transmission Ltd.,Closed,54.08577,-116.64156,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2013
INC2013-136,Release of Substance,09/22/2013,Strome,Alberta,Enbridge Pipelines Inc.,Submitted,52.930153,-112.073468,Not Provided,Natural Gas Liquids,Gas,No,small_green,2013
INC2013-139,Release of Substance,09/26/2013,Slave Lake,Alberta,NOVA Gas Transmission Ltd.,Submitted,55.26619,-114.60103,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2013
INC2013-141,Release of Substance,09/28/2013,Smokey Lake,Alberta,NOVA Gas Transmission Ltd.,Submitted,53.97323,-112.22835,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2013
INC2013-142,Release of Substance,10/06/2013,Slave Lake,Alberta,NOVA Gas Transmission Ltd.,Submitted,55.26395,-114.601007,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2013
INC2013-146,Release of Substance,10/17/2013,Fort McMurray,Alberta,NOVA Gas Transmission Ltd.,Submitted,56.514327,-113.679868,Not Provided,Butane,Gas,Yes,small_green,2013
INC2013-147,Operation Beyond Design Limits,10/17/2013,Fort McMurray,Alberta,NOVA Gas Transmission Ltd.,Submitted,56.51516,-113.65075,Not Applicable,Not Applicable,Not Applicable,No,small_purple,2013
INC2013-148,Release of Substance,10/20/2013,Gadsby,Alberta,NOVA Gas Transmission Ltd.,Submitted,52.3882,-112.2162,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2013
INC2013-150,Release of Substance,10/23/2013,Burstall,Saskatchewan,TransCanada PipeLines Limited,Submitted,50.676806,-109.929667,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2013
INC2013-152,Release of Substance,10/29/2013,Saint John,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.273315,-66.063308,5.7,Natural Gas - Sweet,Gas,No,small_green,2013
INC2013-153,Fire,10/31/2013,Edmonton,Alberta,Enbridge Pipelines Inc.,Closed,53.547403,-113.355714,Not Applicable,Not Applicable,Not Applicable,No,small_yellow,2013
INC2013-154,Release of Substance,11/02/2013,Vermilion Bay,Ontario,TransCanada PipeLines Limited,Submitted,49.82512,-93.627265,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2013
INC2013-155,Release of Substance,11/16/2013,Saint John,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.273315,-66.063308,500,Natural Gas - Sweet,Gas,No,small_green,2013
INC2013-158,Fire,11/22/2013,Saint Leon,Manitoba,Enbridge Pipelines Inc.,Closed,49.362856,-98.590633,Not Applicable,Not Applicable,Not Applicable,No,small_yellow,2013
INC2013-159,Operation Beyond Design Limits,11/22/2013,Fort Saskatchewan,Alberta,Cochin Pipe Lines Ltd.,Closed,53.700716,-113.209466,Not Applicable,Not Applicable,Not Applicable,No,small_purple,2013
INC2013-161,Release of Substance,11/25/2013,Edmonton,Alberta,Enbridge Pipelines Inc.,Submitted,53.307156,-113.511011,2.25,Crude Oil - Sweet,Liquid,No,small_blue,2013
INC2013-162,Release of Substance,11/27/2013,Boyle,Alberta,NOVA Gas Transmission Ltd.,Submitted,54.50936,-112.64735,Not Provided,Natural Gas - Sweet,Gas,Yes,small_green,2013
INC2013-164,Release of Substance,12/01/2013,Sherwood Park,Alberta,Trans Mountain Pipeline ULC,Submitted,53.542908,-113.36445,12,Crude Oil - Sweet,Liquid,No,small_blue,2013
INC2013-165,Operation Beyond Design Limits,12/02/2013,Regina,Saskatchewan,Enbridge Pipelines Inc.,Closed,50.477608,-104.569525,Not Applicable,Not Applicable,Not Applicable,No,small_purple,2013
INC2013-167,Fire,12/05/2013,Monchy,Saskatchewan,Foothills Pipe Lines (Saskatchewan) Ltd.,Closed,49.017155,-107.831853,Not Applicable,Not Applicable,Not Applicable,No,small_yellow,2013
INC2013-168,Release of Substance,12/05/2013,Dryden,Ontario,TransCanada PipeLines Limited,Closed,49.7951,-92.762674,0.017,Natural Gas - Sweet,Gas,No,small_green,2013
INC2013-169,Release of Substance,12/09/2013,Moncton,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,46.112702,-64.714397,0.3,Natural Gas - Sweet,Gas,No,small_green,2013
INC2013-170,Release of Substance,12/11/2013,Goldboro,Nova Scotia,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.182385,-61.652361,2000,Natural Gas - Sweet,Gas,No,small_green,2013
INC2013-175,Release of Substance,12/16/2013,Elko,British Columbia,Foothills Pipe Lines Ltd.,Submitted,49.28487,-115.17704,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2013
INC2014-003,Release of Substance,01/08/2014,Moncton,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,46.112702,-64.714397,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2014
INC2014-006,Fire,01/11/2014,Ile des Ch?nes,Manitoba,TransCanada PipeLines Limited,Submitted,49.716512,-96.976655,Not Applicable,Not Applicable,Not Applicable,No,small_yellow,2014
INC2014-008,Release of Substance,01/12/2014,Bowden,Alberta,NOVA Gas Transmission Ltd.,Submitted,51.911918,-113.664358,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2014
INC2014-012,Fire,01/15/2014,Edmonton,Alberta,Enbridge Pipelines Inc.,Closed,53.5474,-113.35582,Not Applicable,Not Applicable,Not Applicable,No,small_yellow,2014
INC2014-014,Release of Substance,01/16/2014,Norman Wells,Northwest Territories,Enbridge Pipelines (NW) Inc.,Closed,65.286034,-126.887048,0.0001,Natural Gas - Sweet,Gas,No,small_green,2014
INC2014-015,Release of Substance,01/16/2014,Saint John,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.273315,-66.063308,2,Natural Gas - Sweet,Gas,No,small_green,2014
INC2014-016,Release of Substance,01/18/2014,Regina,Saskatchewan,Enbridge Pipelines Inc.,Closed,50.392646,-104.569717,20,Crude Oil - Synthetic,Liquid,Yes,small_blue,2014
INC2014-017,Release of Substance,01/22/2014,Wildrose,Alberta,Trans Mountain Pipeline ULC,Submitted,53.5990003,-115.451183,17,Crude Oil - Sweet,Liquid,No,small_blue,2014
INC2014-018,"Fire, Release of Substance",01/25/2014,Otterburne,Manitoba,TransCanada PipeLines Limited,Submitted,49.503424,-97.00824,Not Provided,Natural Gas - Sweet,Gas,Yes,small_green,2014
INC2014-024,Release of Substance,02/07/2014,Fredericton,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.96376,-66.6432,0.01,Natural Gas - Sweet,Gas,No,small_green,2014
